#id	CHR
cg00000292	16
cg00002426	3
cg00003994	7
cg00005847	2
cg00006414	7
cg00007981	11
cg00008493	14
cg00008713	18
cg00009407	14
cg00010193	4
cg00011459	16
cg00012199	14
cg00012386	1
cg00012792	6
cg00013618	22
cg00014085	2
cg00014837	12
cg00015770	4
cg00016968	1
cg00019495	4
cg00020533	6
cg00021527	17
cg00022606	20
cg00022866	11
cg00024396	6
cg00024812	2
cg00025138	14
cg00025991	10
cg00027083	18
cg00027674	11
cg00029826	14
cg00029931	X
cg00030047	1
cg00031162	17
cg00032227	17
cg00032666	X
cg00033516	4
cg00033773	19
cg00034039	9
cg00035347	10
cg00035623	19
cg00037763	18
cg00037940	3
cg00040861	19
cg00040873	16
cg00041575	11
cg00042156	10
cg00043004	16
cg00043080	19
cg00044245	6
cg00044729	22
cg00047050	11
cg00047469	9
cg00049986	14
cg00050312	17
cg00051623	11
cg00051979	10
cg00053292	17
cg00053647	7
cg00054706	2
cg00055233	9
cg00056767	13
cg00057593	8
cg00058938	19
cg00059225	5
cg00059424	22
cg00059740	7
cg00059930	13
cg00060762	15
cg00060882	X
cg00061059	19
cg00061629	11
cg00062776	19
cg00063144	17
cg00065385	9
cg00065408	12
cg00066153	11
cg00066816	5
cg00067471	19
cg00069261	16
cg00071250	1
cg00071998	6
cg00072216	4
cg00073650	16
cg00075967	15
cg00076645	5
cg00077457	1
cg00077877	8
cg00078194	11
cg00078867	X
cg00079056	9
cg00079563	22
cg00080012	11
cg00081935	12
cg00081975	17
cg00083720	20
cg00083937	22
cg00084687	7
cg00089071	17
cg00090147	8
cg00091693	17
cg00093177	17
cg00094319	13
cg00094851	2
cg00095526	1
cg00095674	1
cg00096922	7
cg00097536	2
cg00098162	10
cg00098239	19
cg00099550	10
cg00101227	1
cg00103783	17
cg00105253	14
cg00105470	1
cg00107187	14
cg00107488	22
cg00107632	4
cg00108454	1
cg00109274	13
cg00112517	17
cg00113020	19
cg00113951	12
cg00115714	6
cg00116234	9
cg00116838	19
cg00117172	1
cg00119079	3
cg00121158	9
cg00121640	9
cg00121904	X
cg00123035	1
cg00126034	17
cg00126657	X
cg00126698	X
cg00128197	X
cg00128560	16
cg00128654	14
cg00128766	1
cg00128877	1
cg00129774	12
cg00131121	7
cg00131557	13
cg00132141	10
cg00133909	15
cg00134539	21
cg00134787	17
cg00135056	3
cg00135393	4
cg00136105	12
cg00136405	4
cg00136477	1
cg00136736	22
cg00138126	20
cg00141162	3
cg00141550	X
cg00141845	X
cg00143376	2
cg00143998	1
cg00145118	5
cg00145348	X
cg00146096	11
cg00149659	3
cg00149976	3
cg00151234	X
cg00151607	16
cg00152644	1
cg00155167	8
cg00155485	12
cg00155609	19
cg00156216	11
cg00156744	5
cg00158308	13
cg00160914	1
cg00162401	6
cg00162643	9
cg00164041	4
cg00164898	22
cg00165981	5
cg00167504	7
cg00168082	9
cg00168785	2
cg00168942	10
cg00169548	14
cg00171126	21
cg00171161	4
cg00174500	14
cg00174901	19
cg00176210	8
cg00176879	20
cg00177013	20
cg00177698	17
cg00177923	8
cg00178790	18
cg00179446	X
cg00180012	6
cg00180631	X
cg00182461	2
cg00183782	15
cg00183916	17
cg00184884	22
cg00184893	17
cg00185103	19
cg00185839	11
cg00186141	7
cg00186701	8
cg00186954	11
cg00187380	12
cg00187686	11
cg00188348	*
cg00191052	X
cg00194146	6
cg00195561	11
cg00197381	5
cg00197641	14
cg00199549	22
cg00200063	17
cg00201234	3
cg00202702	11
cg00202711	X
cg00204262	19
cg00206052	10
cg00207534	16
cg00208830	1
cg00208967	19
cg00209066	22
cg00209951	1
cg00210842	12
cg00211661	11
cg00212549	3
cg00213044	12
cg00213331	5
cg00213714	9
cg00214346	17
cg00214794	17
cg00214855	6
cg00215066	19
cg00216361	3
cg00216758	11
cg00217795	14
cg00221494	13
cg00223186	1
cg00223950	1
cg00224234	17
cg00224508	1
cg00226904	18
cg00226923	6
cg00228799	9
cg00229387	6
cg00230271	4
cg00230368	6
cg00230502	12
cg00230685	X
cg00231140	18
cg00231644	6
cg00231920	20
cg00233307	19
cg00234616	2
cg00234961	22
cg00236832	17
cg00237010	12
cg00238052	X
cg00239071	14
cg00239419	17
cg00239685	3
cg00240312	16
cg00240432	7
cg00240880	20
cg00241355	12
cg00242839	10
cg00243313	5
cg00245878	7
cg00247489	1
cg00250430	9
cg00253200	3
cg00256074	16
cg00256166	15
cg00256281	22
cg00259755	10
cg00260778	10
cg00261552	12
cg00261781	2
cg00262415	1
cg00263723	*
cg00263760	10
cg00265415	1
cg00265490	8
cg00268009	4
cg00268338	10
cg00269115	1
cg00269932	19
cg00273068	20
cg00273124	5
cg00274399	13
cg00275232	19
cg00276797	10
cg00278366	12
cg00279797	X
cg00280814	22
cg00280894	X
cg00282347	1
cg00282683	7
cg00283535	8
cg00288562	7
cg00290028	13
cg00290506	1
cg00291877	15
cg00292662	22
cg00292971	7
cg00293409	3
cg00294382	12
cg00295206	3
cg00295325	2
cg00296685	6
cg00297584	12
cg00297600	8
cg00298357	5
